"journal","model","term","Estimate","Std_Error","z_value","p_value","Odds_Ratio","CI_95_Lower","CI_95_Upper","significance","status","error"
"Mind","m3_prior_expertise_similarity","absdiff.expertise_model_z",-0.0240099447165167,0.177174740664473,-0.135515619362389,0.892204215705552,0.976276000921562,0.689855974064236,1.38161422935891,"","ok",NA
"Mind","m4_full","edges",-3.10471936995661,0.191025724807576,-16.2528862177283,2.1309181923425e-59,0.0448370994310579,0.030834231600117,0.0651991433242963,"***","ok",NA
"Mind","m4_full","edgecov.prior",4.05457638970153,1.01276560151799,4.00346969093767,6.24202013534176e-05,57.6607321419952,7.9213037781087,419.723838939143,"***","ok",NA
"Mind","m4_full","nodecov.expertise_model_z",-0.0612099998945112,0.157087031385563,-0.389656608534883,0.696790486589087,0.940625687738583,0.691355869404794,1.27977026534165,"","ok",NA
"Mind","m4_full","absdiff.expertise_model_z",0.0763122166978375,0.177286162516576,0.430446548194095,0.666870841083243,1.07929949688299,0.762487882954041,1.52774546325753,"","ok",NA
"Mind","m4_full","nodecov.leadership_model_z",0.0626219380972124,0.0761557010922882,0.822288248929977,0.410912863087428,1.06462426926093,0.917004191324972,1.2360083469866,"","ok",NA
"Mind","m4_full","absdiff.leadership_model_z",-1.09257051723299,0.169475850413744,-6.44676226474558,1.14264807160524e-10,0.335353353249625,0.240570237551243,0.467480402731916,"***","ok",NA
"Nature Climate Change","m0_edges","edges",-2.73506086636281,0.0442844912291984,-61.7611446004259,0,0.064890057361893,0.0594952697749169,0.0707740222098294,"***","ok",NA
"Nature Climate Change","m1_prior","edges",-2.83273205416203,0.0465330624672232,-60.8756850284105,0,0.0588518473960442,0.0537217755145196,0.0644718069861851,"***","ok",NA
"Nature Climate Change","m1_prior","edgecov.prior",2.74417865682058,0.19399226006073,14.145815178201,1.98206458300476e-45,15.5518352912343,10.6329091353701,22.7463225582489,"***","ok",NA
"Nature Climate Change","m2_prior_expertise","edges",-2.84508507977881,0.0470757801263321,-60.436281080075,0,0.0581293208996642,0.0530058174192345,0.0637480584731059,"***","ok",NA
"Nature Climate Change","m2_prior_expertise","edgecov.prior",3.07055412727812,0.225331201798786,13.6268484025574,2.7729929472032e-42,21.5538429388047,13.8585860470801,33.5220450233841,"***","ok",NA
"Nature Climate Change","m2_prior_expertise","nodecov.expertise_model_z",-0.101444540820498,0.0346202992100614,-2.93020404604175,0.00338739493069402,0.903531287056576,0.844255312412765,0.96696908469198,"**","ok",NA
"Nature Climate Change","m3_prior_expertise_similarity","edges",-2.48608413453526,0.0747931190136315,-33.2394766700685,2.8972303391069e-242,0.0832352673513246,0.071885647780622,0.0963768143564544,"***","ok",NA
"Nature Climate Change","m3_prior_expertise_similarity","edgecov.prior",2.61185150382518,0.232931968955349,11.212937045691,3.52305412072449e-29,13.624252870119,8.63052074626322,21.5074236800037,"***","ok",NA
"Nature Climate Change","m3_prior_expertise_similarity","nodecov.expertise_model_z",0.0153744528174851,0.0372400611269664,0.412847142357457,0.67971860969278,1.01549324773871,0.944012315358264,1.09238674053902,"","ok",NA
"Nature Climate Change","m3_prior_expertise_similarity","absdiff.expertise_model_z",-0.357383759627135,0.0637252593418184,-5.60819623675677,2.0444614168617e-08,0.699504004823466,0.617370920513229,0.792563816185739,"***","ok",NA
"Nature Climate Change","m4_full","edges",-2.31195791971572,0.0887876750997264,-26.0391762383566,1.78419314186584e-149,0.099067096130605,0.0832437887169893,0.117898160175253,"***","ok",NA
"Nature Climate Change","m4_full","edgecov.prior",2.65399597664729,0.233759092557977,11.3535518452145,7.12100087488328e-30,14.2107110085763,8.98744097196991,22.4696115389349,"***","ok",NA
"Nature Climate Change","m4_full","nodecov.expertise_model_z",-0.0613825679080987,0.0447216791458757,-1.37254613602225,0.169893486833308,0.940463379837099,0.861537186571443,1.02662007235514,"","ok",NA
"Nature Climate Change","m4_full","absdiff.expertise_model_z",-0.284750637899187,0.0667298549610892,-4.26721499792301,1.97928388410482e-05,0.752201801556296,0.659983031841695,0.857306207836345,"***","ok",NA
"Nature Climate Change","m4_full","nodecov.leadership_model_z",0.0560891462595597,0.0444123368993351,1.26291814787164,0.206618597228181,1.05769196881675,0.969515289364645,1.15388825031588,"","ok",NA
"Nature Climate Change","m4_full","absdiff.leadership_model_z",-0.257156377675843,0.0672211287039603,-3.82552900604141,0.000130491567984837,0.773247285697081,0.677795411223846,0.882141358493852,"***","ok",NA
"Nature Materials","m0_edges","edges",-2.83476499203716,0.0257962363636275,-109.890642653366,0,0.0587323267766115,0.0558366053225718,0.0617782221656702,"***","ok",NA
"Nature Materials","m1_prior","edges",-2.8825355056083,0.0263923837539698,-109.218459858698,0,0.0559926131150062,0.0531698071899682,0.0589652829141402,"***","ok",NA
"Nature Materials","m1_prior","edgecov.prior",4.56096628952935,0.292332794400109,15.6019658994771,7.0586592776791e-55,95.6758857840682,53.9465646165962,169.684115858417,"***","ok",NA
"Nature Materials","m2_prior_expertise","edges",-2.88979440751387,0.0265781650715194,-108.728138294638,0,0.0555876398378394,0.052766032927463,0.0585601291457542,"***","ok",NA
"Nature Materials","m2_prior_expertise","edgecov.prior",4.79774280237449,0.297897144958595,16.105366847478,2.33906669024558e-58,121.236453804279,67.6173358904727,217.374398702213,"***","ok",NA
